model,feature_set,horizon,split,event_weight,n,MAE,RMSE,R2,ev_n,ev_MAE,dc_n,dc_MAE
MLP,ACQUA,t+4,test,9.787931935842602,144,3.5285,5.8056,0.7891,35,4.2703,109,3.2903
MLP,ACQUA,t+5,test,9.787931935842602,144,3.8964,5.9939,0.7747,35,5.1309,109,3.5001
MLP,ACQUA,t+6,test,9.787931935842602,144,4.502,6.8101,0.7131,35,5.3107,109,4.2424
MLP,ACQUA,t+7,test,9.787931935842602,144,5.3443,7.5593,0.658,35,6.1753,109,5.0775
MLP,ACQUA,ALL,test,9.787931935842602,1008,3.5417,5.8167,0.7944,245,4.598,763,3.2026
LSTM,ACQUA,t+1,train,3.0,742,1.3384,2.9208,0.9705,236,1.6945,506,1.1723
LSTM,ACQUA,t+2,train,3.0,742,2.4121,4.6132,0.9259,236,2.5634,506,2.3415
LSTM,ACQUA,t+3,train,3.0,742,3.3289,5.742,0.8844,236,3.2215,506,3.379
LSTM,ACQUA,t+4,train,3.0,742,4.2367,6.7543,0.839,236,4.0899,506,4.3052
LSTM,ACQUA,t+5,train,3.0,742,4.7903,7.3567,0.8079,236,4.3954,506,4.9745
LSTM,ACQUA,t+6,train,3.0,742,5.274,7.7717,0.7843,236,5.0081,506,5.3979
LSTM,ACQUA,t+7,train,3.0,742,5.3237,7.7825,0.7825,236,5.0523,506,5.4502
LSTM,ACQUA,ALL,train,3.0,5194,3.8149,6.3639,0.8572,1652,3.7179,3542,3.8601
LSTM,ACQUA,t+1,val,3.0,129,1.1279,2.7668,0.9464,34,1.6566,95,0.9387
LSTM,ACQUA,t+2,val,3.0,129,2.094,3.897,0.8924,34,2.6159,95,1.9072
LSTM,ACQUA,t+3,val,3.0,129,2.5734,4.0567,0.8829,34,2.6798,95,2.5354
LSTM,ACQUA,t+4,val,3.0,129,2.9855,4.2685,0.8696,34,2.6454,95,3.1072
LSTM,ACQUA,t+5,val,3.0,129,3.3945,4.5994,0.848,34,2.8696,95,3.5824
LSTM,ACQUA,t+6,val,3.0,129,3.9087,5.1265,0.8117,34,3.4194,95,4.0838
LSTM,ACQUA,t+7,val,3.0,129,4.4389,5.7905,0.7726,34,4.0014,95,4.5955
LSTM,ACQUA,ALL,val,3.0,903,2.9318,4.4479,0.8608,238,2.8411,665,2.9643
LSTM,ACQUA,t+1,test,3.0,143,1.6672,3.8962,0.9112,34,3.5929,109,1.0666
LSTM,ACQUA,t+2,test,3.0,143,2.713,5.0559,0.8452,34,3.8912,109,2.3455
LSTM,ACQUA,t+3,test,3.0,143,3.3627,5.7094,0.7968,34,4.028,109,3.1552
LSTM,ACQUA,t+4,test,3.0,143,3.7292,6.1298,0.7625,34,4.3359,109,3.54
LSTM,ACQUA,t+5,test,3.0,143,4.1718,6.397,0.7417,34,5.4419,109,3.7756
LSTM,ACQUA,t+6,test,3.0,143,4.5114,6.7943,0.7138,34,5.0609,109,4.3401
LSTM,ACQUA,t+7,test,3.0,143,5.1935,7.2701,0.6838,34,5.5894,109,5.07
LSTM,ACQUA,ALL,test,3.0,1001,3.6213,5.9863,0.7805,238,4.5629,763,3.3276
Ridge,TERRA,t+1,train,1.0002480509041243,1108,1.7559,3.7179,0.9534,331,1.9752,777,1.6625
Ridge,TERRA,t+2,train,1.0002480509041243,1108,2.9494,5.2637,0.9061,331,3.0922,777,2.8885
Ridge,TERRA,t+3,train,1.0002480509041243,1108,3.9002,6.2756,0.8657,331,3.881,777,3.9084
Ridge,TERRA,t+4,train,1.0002480509041243,1108,4.6677,7.0553,0.8294,331,4.4385,777,4.7653
Ridge,TERRA,t+5,train,1.0002480509041243,1108,5.2497,7.6526,0.7986,331,4.766,777,5.4558
Ridge,TERRA,t+6,train,1.0002480509041243,1108,5.7568,8.1382,0.7716,331,5.1621,777,6.0101
Ridge,TERRA,t+7,train,1.0002480509041243,1108,6.1561,8.5327,0.7481,331,5.654,777,6.37
Ridge,TERRA,ALL,train,1.0002480509041243,7756,4.348,6.8483,0.8396,2317,4.1384,5439,4.4372
Ridge,TERRA,t+1,val,1.0002480509041243,135,1.2895,2.7651,0.9542,37,1.8565,98,1.0754
Ridge,TERRA,t+2,val,1.0002480509041243,135,2.2487,3.8794,0.9088,37,2.7313,98,2.0665
Ridge,TERRA,t+3,val,1.0002480509041243,135,2.759,4.0659,0.899,37,2.8229,98,2.7348
Ridge,TERRA,t+4,val,1.0002480509041243,135,3.1799,4.3131,0.8851,37,2.8905,98,3.2892
Ridge,TERRA,t+5,val,1.0002480509041243,135,3.603,4.7175,0.8614,37,3.2217,98,3.747
Ridge,TERRA,t+6,val,1.0002480509041243,135,4.057,5.2503,0.8267,37,3.7194,98,4.1844
Ridge,TERRA,t+7,val,1.0002480509041243,135,4.5312,6.0106,0.7798,37,4.2994,98,4.6187
Ridge,TERRA,ALL,val,1.0002480509041243,945,3.0955,4.5321,0.8746,259,3.0774,686,3.1023
Ridge,TERRA,t+1,test,1.0002480509041243,144,1.7128,3.9168,0.9113,35,3.4788,109,1.1457
Ridge,TERRA,t+2,test,1.0002480509041243,144,2.714,5.0339,0.8485,35,3.5627,109,2.4415
Ridge,TERRA,t+3,test,1.0002480509041243,144,3.4965,5.7747,0.7946,35,3.9931,109,3.3371
Ridge,TERRA,t+4,test,1.0002480509041243,144,3.9685,6.213,0.7585,35,4.2108,109,3.8906
Ridge,TERRA,t+5,test,1.0002480509041243,144,4.5181,6.7282,0.7162,35,5.6382,109,4.1584
Ridge,TERRA,t+6,test,1.0002480509041243,144,5.0749,7.2918,0.6711,35,5.3896,109,4.9738
Ridge,TERRA,t+7,test,1.0002480509041243,144,5.8814,7.9167,0.6249,35,5.8913,109,5.8782
Ridge,TERRA,ALL,test,1.0002480509041243,1008,3.9094,6.2535,0.7623,245,4.5949,763,3.6893
RF,TERRA,t+1,train,9.698755352731423,1108,0.9711,2.1764,0.984,331,0.8206,777,1.0353
RF,TERRA,t+2,train,9.698755352731423,1108,1.3796,2.7846,0.9737,331,1.0939,777,1.5013
RF,TERRA,t+3,train,9.698755352731423,1108,1.6028,2.9537,0.9702,331,1.1802,777,1.7828
RF,TERRA,t+4,train,9.698755352731423,1108,1.6929,3.0152,0.9688,331,1.2281,777,1.8909
RF,TERRA,t+5,train,9.698755352731423,1108,1.7879,3.0596,0.9678,331,1.2594,777,2.013
RF,TERRA,t+6,train,9.698755352731423,1108,1.8919,3.1686,0.9654,331,1.2955,777,2.1459
RF,TERRA,t+7,train,9.698755352731423,1108,2.0064,3.3209,0.9618,331,1.334,777,2.2929
RF,TERRA,ALL,train,9.698755352731423,7756,1.6189,2.9456,0.9703,2317,1.1731,5439,1.8089
RF,TERRA,t+1,val,9.698755352731423,135,1.1224,2.7695,0.954,37,1.7634,98,0.8804
RF,TERRA,t+2,val,9.698755352731423,135,1.9793,4.0153,0.9023,37,2.7045,98,1.7055
RF,TERRA,t+3,val,9.698755352731423,135,2.4108,3.8394,0.91,37,2.5657,98,2.3523
RF,TERRA,t+4,val,9.698755352731423,135,2.7312,3.8414,0.9088,37,2.5082,98,2.8154
RF,TERRA,t+5,val,9.698755352731423,135,3.1456,4.2628,0.8869,37,2.8656,98,3.2513
RF,TERRA,t+6,val,9.698755352731423,135,3.7891,5.0245,0.8413,37,3.4515,98,3.9165
RF,TERRA,t+7,val,9.698755352731423,135,4.6023,5.9461,0.7845,37,4.21,98,4.7503
RF,TERRA,ALL,val,9.698755352731423,945,2.8258,4.3435,0.8848,259,2.867,686,2.8102
RF,TERRA,t+1,test,9.698755352731423,144,1.8264,3.9118,0.9115,35,3.7808,109,1.1988
RF,TERRA,t+2,test,9.698755352731423,144,2.9309,5.1253,0.8429,35,3.945,109,2.6053
RF,TERRA,t+3,test,9.698755352731423,144,3.6315,5.8801,0.787,35,4.4211,109,3.378
RF,TERRA,t+4,test,9.698755352731423,144,3.8714,6.3038,0.7513,35,4.6539,109,3.6202
RF,TERRA,t+5,test,9.698755352731423,144,4.1832,6.6548,0.7223,35,6.0703,109,3.5772
RF,TERRA,t+6,test,9.698755352731423,144,4.7309,7.025,0.6947,35,5.967,109,4.334
RF,TERRA,t+7,test,9.698755352731423,144,5.4922,7.6453,0.6502,35,6.6361,109,5.1249
RF,TERRA,ALL,test,9.698755352731423,1008,3.8095,6.1872,0.7673,245,5.0677,763,3.4055
MLP,TERRA,t+1,train,1.0224165581780906,1108,1.2134,2.7231,0.975,331,1.5547,777,1.068
MLP,TERRA,t+2,train,1.0224165581780906,1108,2.0728,4.1236,0.9423,331,2.3371,777,1.9602
MLP,TERRA,t+3,train,1.0224165581780906,1108,2.6985,4.8833,0.9187,331,2.7317,777,2.6844
MLP,TERRA,t+4,train,1.0224165581780906,1108,3.1066,5.2689,0.9048,331,2.906,777,3.1921
MLP,TERRA,t+5,train,1.0224165581780906,1108,3.417,5.4681,0.8972,331,3.0102,777,3.5903
MLP,TERRA,t+6,train,1.0224165581780906,1108,3.647,5.6039,0.8917,331,3.1571,777,3.8558
MLP,TERRA,t+7,train,1.0224165581780906,1108,3.8899,5.8061,0.8834,331,3.3797,777,4.1073
MLP,TERRA,ALL,train,1.0224165581780906,7756,2.8636,4.9431,0.9164,2317,2.7252,5439,2.9226
MLP,TERRA,t+1,val,1.0224165581780906,135,0.8999,2.6504,0.9579,37,1.5875,98,0.6402
MLP,TERRA,t+2,val,1.0224165581780906,135,1.5176,3.6038,0.9213,37,2.2705,98,1.2333
MLP,TERRA,t+3,val,1.0224165581780906,135,1.72,3.2995,0.9335,37,1.9522,98,1.6324
MLP,TERRA,t+4,val,1.0224165581780906,135,1.9187,2.9465,0.9464,37,1.8579,98,1.9416
MLP,TERRA,t+5,val,1.0224165581780906,135,2.2084,3.0602,0.9417,37,2.2521,98,2.1919
MLP,TERRA,t+6,val,1.0224165581780906,135,2.6964,3.6519,0.9162,37,2.7749,98,2.6668
MLP,TERRA,t+7,val,1.0224165581780906,135,3.2706,4.4804,0.8776,37,3.4494,98,3.2031
MLP,TERRA,ALL,val,1.0224165581780906,945,2.0331,3.43,0.9281,259,2.3063,686,1.9299
MLP,TERRA,t+1,test,1.0224165581780906,144,1.5139,3.8802,0.913,35,3.7708,109,0.7892
