model,feature_set,horizon,split,event_weight,n,MAE,RMSE,R2,ev_n,ev_MAE,dc_n,dc_MAE
LSTM,ACQUA,t+1,train,3.0,742,6.7897,8.5447,0.7473,236,6.5637,506,6.8951
LSTM,ACQUA,t+2,train,3.0,742,6.7509,8.6089,0.7419,236,6.491,506,6.8722
LSTM,ACQUA,t+3,train,3.0,742,6.6239,8.4799,0.7479,236,6.2121,506,6.816
LSTM,ACQUA,t+4,train,3.0,742,6.5695,8.3313,0.7551,236,6.0507,506,6.8114
LSTM,ACQUA,t+5,train,3.0,742,6.4935,8.2872,0.7562,236,5.9722,506,6.7367
LSTM,ACQUA,t+6,train,3.0,742,6.5787,8.4025,0.7479,236,6.0324,506,6.8334
LSTM,ACQUA,t+7,train,3.0,742,6.6507,8.4882,0.7412,236,6.2472,506,6.8389
LSTM,ACQUA,ALL,train,3.0,5194,6.6367,8.4496,0.7482,1652,6.2242,3542,6.8291
LSTM,ACQUA,t+1,val,3.0,129,8.5693,10.0606,0.2907,34,6.9467,95,9.15
LSTM,ACQUA,t+2,val,3.0,129,8.8035,10.3256,0.2446,34,6.5971,95,9.5932
LSTM,ACQUA,t+3,val,3.0,129,9.2222,10.7356,0.1798,34,7.1719,95,9.956
LSTM,ACQUA,t+4,val,3.0,129,9.4045,10.9869,0.1361,34,7.6524,95,10.0315
LSTM,ACQUA,t+5,val,3.0,129,9.554,11.5059,0.0489,34,8.307,95,10.0003
LSTM,ACQUA,t+6,val,3.0,129,10.0773,12.026,-0.0364,34,8.6337,95,10.594
LSTM,ACQUA,t+7,val,3.0,129,10.383,12.6382,-0.0835,34,9.104,95,10.8407
LSTM,ACQUA,ALL,val,3.0,903,9.4305,11.2157,0.1147,238,7.7733,665,10.0237
LSTM,ACQUA,t+1,test,3.0,107,17.4251,21.4147,-1.3098,23,19.6169,84,16.825
LSTM,ACQUA,t+2,test,3.0,107,17.6404,21.9697,-1.5059,23,19.3456,84,17.1735
LSTM,ACQUA,t+3,test,3.0,107,17.1355,21.2992,-1.4131,23,18.4023,84,16.7887
LSTM,ACQUA,t+4,test,3.0,107,16.6764,20.7312,-1.3106,23,18.2599,84,16.2428
LSTM,ACQUA,t+5,test,3.0,107,17.0277,21.5796,-1.5011,23,18.12,84,16.7286
LSTM,ACQUA,t+6,test,3.0,107,16.8427,21.1901,-1.3735,23,17.3805,84,16.6955
LSTM,ACQUA,t+7,test,3.0,107,17.7497,22.2594,-1.5293,23,19.525,84,17.2635
LSTM,ACQUA,ALL,test,3.0,749,17.2139,21.4971,-1.4201,161,18.6643,588,16.8168
Ridge,TERRA,t+1,train,1.0315332197005733,1108,1.8897,4.0803,0.9439,331,2.0706,777,1.8126
Ridge,TERRA,t+2,train,1.0315332197005733,1108,3.0877,5.5791,0.8945,331,3.238,777,3.0237
Ridge,TERRA,t+3,train,1.0315332197005733,1108,4.046,6.5634,0.8531,331,4.1209,777,4.0141
Ridge,TERRA,t+4,train,1.0315332197005733,1108,4.8335,7.3193,0.8163,331,4.7087,777,4.8867
Ridge,TERRA,t+5,train,1.0315332197005733,1108,5.4644,7.9182,0.7843,331,5.0493,777,5.6412
Ridge,TERRA,t+6,train,1.0315332197005733,1108,5.9978,8.4166,0.7557,331,5.4414,777,6.2349
Ridge,TERRA,t+7,train,1.0315332197005733,1108,6.4193,8.8274,0.7304,331,5.9132,777,6.6349
Ridge,TERRA,ALL,train,1.0315332197005733,7756,4.5341,7.1303,0.8261,2317,4.3632,5439,4.6069
Ridge,TERRA,t+1,val,1.0315332197005733,135,1.4128,2.764,0.9542,37,1.8889,98,1.233
Ridge,TERRA,t+2,val,1.0315332197005733,135,2.4506,4.0897,0.8987,37,2.8195,98,2.3114
Ridge,TERRA,t+3,val,1.0315332197005733,135,3.0147,4.3465,0.8846,37,2.9132,98,3.053
Ridge,TERRA,t+4,val,1.0315332197005733,135,3.4615,4.6094,0.8687,37,2.9771,98,3.6443
Ridge,TERRA,t+5,val,1.0315332197005733,135,3.8641,5.0184,0.8432,37,3.2573,98,4.0932
Ridge,TERRA,t+6,val,1.0315332197005733,135,4.3632,5.608,0.8023,37,3.7308,98,4.602
Ridge,TERRA,t+7,val,1.0315332197005733,135,4.8997,6.4333,0.7477,37,4.3108,98,5.122
Ridge,TERRA,ALL,val,1.0315332197005733,945,3.3524,4.8185,0.8582,259,3.1282,686,3.437
Ridge,TERRA,t+1,test,1.0315332197005733,144,1.7675,4.0188,0.9066,35,3.4185,109,1.2374
Ridge,TERRA,t+2,test,1.0315332197005733,144,2.7644,5.0999,0.8445,35,3.5468,109,2.5132
Ridge,TERRA,t+3,test,1.0315332197005733,144,3.4781,5.7673,0.7951,35,3.9404,109,3.3297
Ridge,TERRA,t+4,test,1.0315332197005733,144,3.9121,6.1161,0.7659,35,4.1429,109,3.838
Ridge,TERRA,t+5,test,1.0315332197005733,144,4.4382,6.5787,0.7286,35,5.4477,109,4.1141
Ridge,TERRA,t+6,test,1.0315332197005733,144,4.9852,7.3186,0.6687,35,5.1807,109,4.9224
Ridge,TERRA,t+7,test,1.0315332197005733,144,5.6804,7.9226,0.6244,35,5.5677,109,5.7166
Ridge,TERRA,ALL,test,1.0315332197005733,1008,3.8609,6.2385,0.7634,245,4.4635,763,3.6673
RF,TERRA,t+1,train,4.136694648034331,1108,1.2428,2.6304,0.9767,331,1.1366,777,1.288
RF,TERRA,t+2,train,4.136694648034331,1108,1.7271,3.3456,0.9621,331,1.4254,777,1.8556
RF,TERRA,t+3,train,4.136694648034331,1108,1.9605,3.4749,0.9588,331,1.4801,777,2.1651
RF,TERRA,t+4,train,4.136694648034331,1108,2.1137,3.6375,0.9546,331,1.5504,777,2.3536
RF,TERRA,t+5,train,4.136694648034331,1108,2.2173,3.8026,0.9503,331,1.602,777,2.4794
RF,TERRA,t+6,train,4.136694648034331,1108,2.3309,3.9333,0.9466,331,1.6393,777,2.6255
RF,TERRA,t+7,train,4.136694648034331,1108,2.4843,4.1286,0.941,331,1.766,777,2.7903
RF,TERRA,ALL,train,4.136694648034331,7756,2.0109,3.5935,0.9558,2317,1.5143,5439,2.2225
RF,TERRA,t+1,val,4.136694648034331,135,1.5193,2.9841,0.9466,37,1.7239,98,1.4421
RF,TERRA,t+2,val,4.136694648034331,135,2.5246,4.4055,0.8824,37,2.6872,98,2.4632
RF,TERRA,t+3,val,4.136694648034331,135,2.9609,4.5186,0.8753,37,2.6433,98,3.0809
RF,TERRA,t+4,val,4.136694648034331,135,3.2897,4.587,0.87,37,2.6085,98,3.5468
RF,TERRA,t+5,val,4.136694648034331,135,3.6215,4.9284,0.8488,37,2.732,98,3.9573
RF,TERRA,t+6,val,4.136694648034331,135,4.1692,5.5816,0.8042,37,3.0652,98,4.586
RF,TERRA,t+7,val,4.136694648034331,135,4.8437,6.6049,0.7341,37,3.6878,98,5.2802
RF,TERRA,ALL,val,4.136694648034331,945,3.2756,4.9112,0.8527,259,2.7354,686,3.4795
RF,TERRA,t+1,test,4.136694648034331,144,2.1939,3.9867,0.9081,35,3.6079,109,1.7398
RF,TERRA,t+2,test,4.136694648034331,144,3.5379,5.3734,0.8273,35,3.9038,109,3.4204
RF,TERRA,t+3,test,4.136694648034331,144,4.4368,6.4084,0.747,35,4.2959,109,4.4821
RF,TERRA,t+4,test,4.136694648034331,144,5.0007,7.071,0.6871,35,4.3703,109,5.2031
RF,TERRA,t+5,test,4.136694648034331,144,5.2822,7.394,0.6572,35,5.8607,109,5.0965
RF,TERRA,t+6,test,4.136694648034331,144,5.7707,7.9494,0.6091,35,5.6039,109,5.8243
RF,TERRA,t+7,test,4.136694648034331,144,6.3621,8.4719,0.5705,35,6.162,109,6.4264
RF,TERRA,ALL,test,4.136694648034331,1008,4.6549,6.8188,0.7174,245,4.8292,763,4.5989
MLP,TERRA,t+1,train,2.0428215357261674,1108,1.8543,3.196,0.9656,331,1.9002,777,1.8347
MLP,TERRA,t+2,train,2.0428215357261674,1108,2.4466,4.361,0.9355,331,2.4289,777,2.4541
MLP,TERRA,t+3,train,2.0428215357261674,1108,3.0197,5.147,0.9096,331,2.8089,777,3.1095
MLP,TERRA,t+4,train,2.0428215357261674,1108,3.4585,5.6648,0.89,331,3.0807,777,3.6194
MLP,TERRA,t+5,train,2.0428215357261674,1108,3.8375,6.0504,0.8741,331,3.3263,777,4.0553
MLP,TERRA,t+6,train,2.0428215357261674,1108,4.2057,6.4456,0.8567,331,3.6311,777,4.4504
MLP,TERRA,t+7,train,2.0428215357261674,1108,4.5135,6.7881,0.8406,331,3.8959,777,4.7766
MLP,TERRA,ALL,train,2.0428215357261674,7756,3.3337,5.5038,0.8964,2317,3.0103,5439,3.4714
MLP,TERRA,t+1,val,2.0428215357261674,135,1.2281,2.8259,0.9522,37,1.8538,98,0.9919
MLP,TERRA,t+2,val,2.0428215357261674,135,1.8633,3.9605,0.905,37,2.8121,98,1.5051
MLP,TERRA,t+3,val,2.0428215357261674,135,2.1558,3.7658,0.9134,37,2.7818,98,1.9194
MLP,TERRA,t+4,val,2.0428215357261674,135,2.4714,3.5674,0.9214,37,2.8776,98,2.318
MLP,TERRA,t+5,val,2.0428215357261674,135,2.8107,3.7591,0.912,37,3.2566,98,2.6423
MLP,TERRA,t+6,val,2.0428215357261674,135,3.3238,4.4692,0.8745,37,3.7019,98,3.181
MLP,TERRA,t+7,val,2.0428215357261674,135,3.95,5.3711,0.8242,37,4.2415,98,3.8399
MLP,TERRA,ALL,val,2.0428215357261674,945,2.5433,4.0273,0.9009,259,3.0751,686,2.3425
MLP,TERRA,t+1,test,2.0428215357261674,144,2.2004,4.3787,0.8892,35,3.6679,109,1.7292
MLP,TERRA,t+2,test,2.0428215357261674,144,3.1071,5.3397,0.8295,35,4.0043,109,2.8191
MLP,TERRA,t+3,test,2.0428215357261674,144,3.8941,5.9643,0.7809,35,4.272,109,3.7728
MLP,TERRA,t+4,test,2.0428215357261674,144,4.5241,6.4724,0.7379,35,4.4007,109,4.5637
MLP,TERRA,t+5,test,2.0428215357261674,144,5.0824,6.9755,0.6949,35,5.7213,109,4.8773
MLP,TERRA,t+6,test,2.0428215357261674,144,5.633,7.7013,0.6331,35,5.4569,109,5.6896
MLP,TERRA,t+7,test,2.0428215357261674,144,6.2805,8.3095,0.5868,35,6.1838,109,6.3116
MLP,TERRA,ALL,test,2.0428215357261674,1008,4.3888,6.5701,0.7376,245,4.8153,763,4.2519
LSTM,TERRA,t+1,train,3.0,750,3.0335,4.518,0.9288,238,3.2656,512,2.9256
LSTM,TERRA,t+2,train,3.0,750,3.3836,5.1838,0.9058,238,3.4526,512,3.3515
LSTM,TERRA,t+3,train,3.0,750,3.9419,5.8707,0.8785,238,3.8138,512,4.0015
LSTM,TERRA,t+4,train,3.0,750,4.4728,6.5471,0.8482,238,4.0509,512,4.669
LSTM,TERRA,t+5,train,3.0,750,4.7827,6.9479,0.828,238,4.18,512,5.0629
LSTM,TERRA,t+6,train,3.0,750,5.0477,7.2852,0.8099,238,4.19,512,5.4464
LSTM,TERRA,t+7,train,3.0,750,5.2806,7.5854,0.7928,238,4.4679,512,5.6584
LSTM,TERRA,ALL,train,3.0,5250,4.2776,6.364,0.8565,1666,3.9173,3584,4.4451
LSTM,TERRA,t+1,val,3.0,129,2.2385,3.7466,0.9016,34,3.0892,95,1.934
LSTM,TERRA,t+2,val,3.0,129,2.5805,4.1872,0.8758,34,3.6751,95,2.1887
LSTM,TERRA,t+3,val,3.0,129,3.0962,4.1901,0.8751,34,3.9452,95,2.7924
LSTM,TERRA,t+4,val,3.0,129,3.255,4.2744,0.8692,34,3.5375,95,3.1539
LSTM,TERRA,t+5,val,3.0,129,3.6102,4.6266,0.8462,34,3.2553,95,3.7373
